                ,A1,A2,A3,A4
J1.A1,0,4,4,4
J1.A2,4,0,400,4
J1.A3,4,400,0,4
J1.A4,4,4,4,0
J2.A1,0,4,4,4
J2.A2,4,0,400,4
J2.A3,4,400,0,4
J2.A4,4,4,4,0
J3.A1,0,4,4,4
J3.A2,4,0,400,4
J3.A3,4,400,0,4
J3.A4,4,4,4,0
J4.A1,0,4,4,4
J4.A2,4,0,400,4
J4.A3,4,400,0,4
J4.A4,4,4,4,0
J5.A1,0,4,4,4
J5.A2,4,0,400,4
J5.A3,4,400,0,4
J5.A4,4,4,4,0
J6.A1,0,4,4,4
J6.A2,4,0,400,4
J6.A3,4,400,0,4
J6.A4,4,4,4,0
J7.A1,0,4,4,4
J7.A2,4,0,400,4
J7.A3,4,400,0,4
J7.A4,4,4,4,0
J8.A1,0,4,4,4
J8.A2,4,0,400,4
J8.A3,4,400,0,4
J8.A4,4,4,4,0
J9.A1,0,4,4,4
J9.A2,4,0,400,4
J9.A3,4,400,0,4
J9.A4,4,4,4,0
J10.A1,0,4,4,4
J10.A2,4,0,400,4
J10.A3,4,400,0,4
J10.A4,4,4,4,0
J11.A1,0,4,4,4
J11.A2,4,0,400,4
J11.A3,4,400,0,4
J11.A4,4,4,4,0
J12.A1,0,1,1,1
J12.A2,1,0,100,1
J12.A3,1,100,0,1
J12.A4,1,1,1,0